Œ¿–«±Í ∂,PRN,tk,X,Y,Z,clockBias
C,35,1786,-14171225.4,14934404.9,-18831527.4,0.000430386628
C,36,1786,-19332663.9,-2598810.9,19973390.2,-1.00623192e-05
C,37,1786,-7840221.15,-24626761.2,-10558075.5,-0.000937302203
C,38,1786,-6793953.36,31863575.7,-26630757,0.000137685749
C,39,1786,-17609115.6,19897680.1,32741782,-7.16908427e-06
C,40,1786,-24103072.6,33563250.1,-9074093.3,-5.71091067e-05
C,41,1786,14201235.6,-23668637.6,4115420.66,-0.000892871487
C,42,1786,11954064.1,10915482.5,22781237.3,-0.000453239898
C,43,1786,27604754.6,-3994643.36,1244115.18,6.09717128e-05
C,44,1786,4686213.61,15634673,-22650821.1,0.000388699795
C,45,1786,-8091712.1,15575958.2,21679056.1,-7.09490163e-05
C,46,1786,-19348693.6,-18687993,7490936.01,-0.000124946646
C,59,1786,-32344544,26983956.6,-2003954.1,-1.39701358e-07
C,60,1786,7292653.49,41280487,-4489751.02,-2.23821592e-07
C,62,1786,-39627277.1,14435090.9,21471.3702,2.43184234e-07
C,1,-1514,-34319448.7,24244557.1,-3359501.31,0.000885076183
C,2,-1514,4486345.99,41848394.2,-3007085.32,0.0004401779
C,3,-1514,-14730365.9,39327477.8,-3960095.66,-1.75018579e-05
C,4,-1514,-39605412.3,14154738.2,-2705670.57,0.00083529066
C,5,-1514,21903270.6,35967980.3,-2012298.69,-0.000746246622
C,6,-1514,-8535017.32,23227216.9,34173350.3,0.000119288403
C,7,-1514,-16290355.6,37750539.8,-9715901.27,-0.000823967581
C,8,-1514,-629475.351,35779830.2,-22115230.8,2.75290919e-05
C,9,-1514,1363117.75,25572010,34020877.2,-0.000509052057
C,10,-1514,-10367716.2,38044528.2,-15329297,7.93327363e-05
C,11,-1514,26830851.2,2875321.02,-7036052,0.000417890174
C,12,-1514,13144764.5,12921773.1,-20913766.1,0.000766657718
C,13,-1514,5400322.49,39030409.6,-14432422.6,0.000418565443
C,14,-1514,16184706.4,1540747.62,22690751,0.0002215901
C,16,-1514,-11206613.8,21975866.7,34430816.2,-0.000347924602
C,19,-1514,-18187749.5,9040061.74,-19119925.4,-0.000925548163
C,20,-1514,-12490861.5,-9915862.55,-22882053.9,-0.00017637253
C,21,-1514,-1397054.25,24649855,13051204.4,-0.000961886649
C,22,-1514,-13818836.1,23902076.5,-4156966.05,-0.000104605098
C,23,-1514,8750383.42,-14914334,-21909188.8,-0.000780206657
C,24,-1514,19224309.2,19371815.7,-5781727.05,0.000897354802
C,25,-1514,19586883.1,2193892.01,-19762651.7,0.000329549813
