Œ¿–«±Í ∂,PRN,tk,X,Y,Z,clockBias
G,6,3600,14532992.8,-8829164.1,20501608,0.000401574653
G,7,-3584,25564640.9,5101970.61,-5764108.24,-6.5287354e-05
G,8,-3584,4462049.59,15796827,-20892637.3,-0.000167694888
G,9,3600,20683205.7,-2727093.9,16390839.9,9.68430686e-05
G,10,3600,-11590842.5,12270094.7,-20212022.5,9.54619988e-07
G,11,3600,2221470.92,-15295749.9,21629328.4,-0.000580469751
G,12,3600,-10349505,-21330059.5,11754222.4,-0.000479351892
G,13,3600,6305625.43,-18440172.5,-18144290.9,0.000626839495
G,14,1824,14077075.7,-8172510.92,-20934314,0.000329397695
G,15,3600,-6450852.78,-15815684,-20787773.8,0.000129180398
G,16,3600,-763896.819,25923100.7,4120740.56,-0.000359562026
G,17,-3584,22877314.7,-12577915.7,-4882481.41,0.000716580643
G,18,3600,-25147855.2,-4176338.97,-7771588.31,-0.000558607307
G,19,3600,20247448.3,-16447916.5,3629708.79,0.000442617799
G,20,3600,778475.362,-23679656.7,12230179.4,0.000386987834
G,21,3600,14853665.7,15450115.9,-15813640.1,0.000134495163
G,22,3600,10866774,-16586576.2,-17383708.7,2.89909051e-05
G,23,3600,-15225293.4,-1478617.16,-21711148.4,0.000159166162
G,24,3600,-16750578.4,-15461035.3,-14375811.1,-0.000433989584
G,25,-3584,-15353855.6,-11413485.7,18194393,0.000488974137
G,26,3600,-5902726.25,21102849.3,14599885.6,0.000188716957
G,27,3600,-8077948.59,20365693.1,-14976827.4,-5.21385137e-06
G,28,3600,-16932468.4,8149623.45,18746747.6,-0.000135767938
